,S,average cover size,k,run time
0,"[100, 435, 3914, 1282, 315]",6.781999999999965,5,0.3274809999999997
1,"[100, 435, 3914, 1282, 315, 582, 1692, 885, 2697, 2389]",16.992999999999952,10,0.2906208999999995
2,"[100, 435, 3914, 1282, 315, 582, 1692, 885, 2697, 2389, 266, 4824, 210, 11079, 9]",32.56099999999995,15,0.3456770999999996
3,"[100, 435, 3914, 1282, 315, 582, 1692, 885, 2697, 2389, 266, 4824, 210, 11079, 9, 2114, 307, 12, 3344, 945]",43.531999999999854,20,0.29098829999999953
4,"[100, 435, 3914, 1282, 315, 582, 1692, 885, 2697, 2389, 266, 4824, 210, 11079, 9, 2114, 307, 12, 3344, 945, 423, 5712, 85, 2748, 412]",51.22999999999979,25,0.41634880000000063
5,"[100, 435, 3914, 1282, 315, 582, 1692, 885, 2697, 2389, 266, 4824, 210, 11079, 9, 2114, 307, 12, 3344, 945, 423, 5712, 85, 2748, 412, 3770, 7185, 2061, 354, 632]",62.366999999999926,30,0.27531840000000063
6,"[100, 435, 3914, 1282, 315, 582, 1692, 885, 2697, 2389, 266, 4824, 210, 11079, 9, 2114, 307, 12, 3344, 945, 423, 5712, 85, 2748, 412, 3770, 7185, 2061, 354, 632, 1738, 3052, 375, 247, 4228]",71.82400000000004,35,0.41239459999999983
7,"[100, 435, 3914, 1282, 315, 582, 1692, 885, 2697, 2389, 266, 4824, 210, 11079, 9, 2114, 307, 12, 3344, 945, 423, 5712, 85, 2748, 412, 3770, 7185, 2061, 354, 632, 1738, 3052, 375, 247, 4228, 8467, 221, 135, 2283, 559]",80.251,40,0.3488244999999992
8,"[100, 435, 3914, 1282, 315, 582, 1692, 885, 2697, 2389, 266, 4824, 210, 11079, 9, 2114, 307, 12, 3344, 945, 423, 5712, 85, 2748, 412, 3770, 7185, 2061, 354, 632, 1738, 3052, 375, 247, 4228, 8467, 221, 135, 2283, 559, 8778, 274, 214, 4919, 2161]",87.17399999999982,45,0.32973439999999954
9,"[100, 435, 3914, 1282, 315, 582, 1692, 885, 2697, 2389, 266, 4824, 210, 11079, 9, 2114, 307, 12, 3344, 945, 423, 5712, 85, 2748, 412, 3770, 7185, 2061, 354, 632, 1738, 3052, 375, 247, 4228, 8467, 221, 135, 2283, 559, 8778, 274, 214, 4919, 2161, 1943, 42, 2017, 92, 1755]",99.27899999999964,50,0.275902799999999
