,NI,u
0,1337.7932349763053,4840
1,1049.6831251696547,23571
2,1016.806428896833,3460
3,1015.3310760416621,12081
4,922.8512135547066,17544
5,894.0259343469638,15758
6,887.7637395685387,969
7,858.482276241713,5120
8,841.58180519569,6342
9,839.0693060706886,5192
10,834.1704967469306,8515
11,820.81162252057,5567
12,818.4200864804328,7387
13,804.739966793805,3333
14,796.5724336690787,7132
15,781.629132251189,5551
16,775.8957531635701,1723
17,763.9159841888388,1866
18,740.9084153614583,2356
19,728.0802436714694,3808
20,718.6157616491021,10099
21,699.2882724467822,19555
22,697.8836149786853,4697
23,669.2446599067522,19774
24,662.4337694663897,8970
25,657.0796980647686,12010
26,654.7134019534558,4109
27,654.0921699929117,4115
28,652.301846105903,988
29,650.8498335329092,12650
30,650.7420600297556,10653
31,648.4693659169678,809
32,645.3525807771304,10869
33,636.3481571760753,14866
34,623.966986045431,14081
35,618.3346332457105,6340
36,610.7118074802873,17529
37,605.5340261578212,13442
38,589.1247754689542,15303
39,587.0772285891288,11454
40,578.7506849249431,22782
41,577.5547726449997,1568
42,571.4748616522662,25580
43,565.1350493586206,22772
44,564.6552885012718,8606
45,562.2891177702303,16370
46,560.1422685403046,13542
47,551.4968658869072,1720
48,550.5934062060134,11464
49,549.4912900113322,17527
50,549.4912900113322,17541
51,549.4912900113322,17540
52,549.4912900113322,17533
53,548.2594238289618,8780
54,545.6229898942308,8962
55,537.5286795685095,14767
56,537.4946786057549,3216
57,537.2864159785573,11907
58,533.887196547843,3566
59,533.3509605667675,2928
60,532.3162605542781,11453
61,527.9379149480683,5884
62,524.8297270528285,12332
63,522.8536751657525,12330
64,520.4830942563513,6904
65,518.0339637275275,5568
66,514.3942478895406,22777
67,513.7323716135667,25609
68,513.5856507926212,25582
69,507.70233482955484,12337
70,507.365263125561,7849
71,506.06876204917137,5089
72,504.53220446934733,22762
73,504.20565673159496,2285
74,498.8615283207776,5873
75,498.58589223339703,3054
76,487.75602371471643,14890
77,487.52715852143746,22779
78,487.52715852143746,22765
79,487.52715852143746,22764
80,487.52715852143746,22795
81,487.05860032118255,1465
82,486.64045583805733,22776
83,482.70574799879995,1096
84,477.7185311508534,3842
85,474.4494022524174,25593
86,474.4494022524174,25605
87,468.07139575061143,6894
88,465.29205517673,3673
89,458.44949056399196,25579
90,457.7102022914428,22771
91,456.16638185644865,3982
92,453.5637636912159,14766
93,452.1968915306858,17531
94,452.1968915306858,17543
95,451.723358613839,5731
96,451.1422630220168,6760
97,449.42707030293684,25490
98,446.698148902591,6601
99,444.63042596979744,10807
100,444.6182062545822,2289
101,442.2507518964652,1456
102,441.2521930120606,6893
103,440.72053568342625,25586
104,440.72053568342625,25584
105,440.72053568342625,25576
106,440.72053568342625,25583
107,440.72053568342625,25577
108,440.72053568342625,25578
109,439.02959307584734,6025
110,438.9023118898265,5061
111,438.8259619435211,10334
112,437.7330226939475,12009
113,435.8572810050815,13566
114,433.88938911554885,10509
115,433.2851746111939,7850
116,432.0503488103408,22793
117,430.89050029196784,7375
118,426.30624368436804,5684
119,425.1614834407959,13563
120,423.6945313185477,3006
121,422.0992818164468,9072
122,421.84585871915635,16262
123,421.81617080372473,22766
124,420.34224998923276,22768
125,419.56024077392226,8779
126,419.1011759145445,1090
127,417.45607897506585,12082
128,416.93193343155,1777
129,415.72512356103056,15304
130,415.18262957693037,17535
131,415.18262957693037,17542
132,415.18262957693037,17538
133,408.2699373075549,12335
134,405.03742418538525,1050
135,404.4060028071474,1308
136,402.5453486206599,2157
137,402.31268839840203,25574
138,402.31268839840203,25594
139,402.31268839840203,25588
140,402.31268839840203,25592
141,402.31268839840203,25589
142,402.31268839840203,25591
143,402.31268839840203,25590
144,402.31268839840203,25602
145,402.31268839840203,25596
146,402.31268839840203,25601
147,402.31268839840203,25599
148,402.31268839840203,25597
149,402.31268839840203,25610
150,402.31268839840203,25608
151,402.31268839840203,25607
152,402.31268839840203,25604
153,402.3043460595456,2438
154,402.018254291205,22728
155,399.69969302517455,14896
156,398.8828842689723,925
157,395.4985243560931,11460
158,394.28188989697605,5203
159,394.1151251518147,4135
160,390.8820805226903,14007
161,390.3347716563992,3712
162,390.19334849730404,21002
163,388.9091897490015,8781
164,388.13090868802357,12336
165,387.5289446036345,6603
166,386.9133136934815,16125
167,386.48073130701084,5105
168,385.27700218383285,2440
169,385.1076715797734,12929
170,383.08600144146027,13438
171,382.98425509590936,26533
172,381.50315733010535,5883
173,381.2053700973926,6136
174,379.55327228273245,2874
175,379.23976160776704,13545
176,379.23976160776704,13543
177,379.23976160776704,13544
178,379.23976160776704,13556
179,379.23976160776704,13555
180,379.23976160776704,13553
181,379.23976160776704,13560
182,379.23976160776704,13559
183,377.5119963718973,2853
184,377.06427709207634,2443
185,375.87547513167556,22774
186,375.3058627470661,17141
187,374.02717749509776,5661
188,373.9638485742072,11461
189,372.92734281614,11452
190,370.0723950397111,12311
191,366.9245886543545,9741
192,366.1750238092949,3762
193,365.4329134666618,2451
194,363.44412529682796,12832
195,362.435332894284,7043
196,361.86920919897125,987
197,361.2671038315722,10870
198,360.8300617049505,3544
199,360.31244236160404,10256
200,357.741542364165,11455
201,357.741542364165,11463
202,357.741542364165,11465
203,356.98841470070204,2836
204,356.7310835751843,11926
205,356.7310835751843,11927
206,355.7428605310019,17474
207,354.7263936017722,8098
208,354.2527808145664,22731
209,353.521291060429,3121
210,352.47538106318433,2034
211,352.3285654090368,4801
212,351.4482516436616,22759
213,351.4482516436616,22783
214,351.4482516436616,22796
215,351.4482516436616,22789
216,350.00091524057115,9963
217,349.7140259681248,10360
218,349.2925982975462,15712
219,348.55282978895804,26536
220,348.2249906987631,21648
221,348.0064899177776,3964
222,347.76832652675455,4682
223,347.5416970499134,10544
224,347.1205145122465,10111
225,345.3206979158284,3355
226,342.00628339939993,3308
227,340.80074056250453,10523
228,340.7165566652944,5229
229,340.40805963336254,15923
230,339.86166480181544,10867
231,338.7006832390161,6965
232,338.5735165444054,3803
233,335.54746439014,5882
234,335.03765353638,8431
235,334.4809674490972,4835
236,333.519086037719,14891
237,333.05700611848596,3858
238,332.17012747647055,17758
239,331.93390731407453,6029
240,331.03115413550034,19823
241,330.1327956962239,12834
242,329.708294668401,10652
243,329.5691125341927,8886
244,328.29603379003834,14447
245,327.33915305869283,2721
246,324.8757553903085,2837
247,324.55586510354414,4118
248,324.26845931016567,14889
249,323.3818890827105,5449
250,322.86077354446496,3771
251,322.71712846687075,13502
252,322.0001236337424,4486
253,320.3163919102996,5917
254,319.61849205182756,4832
255,319.4880069102647,13257
256,318.54398517184364,8440
257,318.0251258169143,14879
258,318.0251258169143,14878
259,318.0251258169143,14880
260,316.98753439564,12833
261,316.63955383778483,22770
262,316.2807858319395,25600
263,314.9476649327837,11729
264,314.4501445225893,14888
265,313.1349808935523,2162
266,312.83380467276265,9171
267,312.25983047360836,14702
268,311.9089571662784,5104
269,311.7757834143525,8212
270,311.0164737684897,2571
271,310.52526417902993,15361
272,310.1982457732525,8513
273,309.47846973300716,6040
274,306.8772680091775,9704
275,305.8726895422285,20007
276,305.33416489176557,2563
277,305.31478436103833,13997
278,304.53562291935725,1051
279,303.3878812859141,19780
280,303.3200396386704,2838
281,302.4463798400837,2676
282,302.1224895932117,6381
283,301.21880017491657,5881
284,300.99914896509034,2362
285,300.94330938801414,17530
286,300.94330938801414,17528
287,300.94330938801414,17534
288,300.94330938801414,17539
289,300.93452933263296,9368
290,300.93452933263296,9367
291,300.7959448701205,12632
292,300.6123079467847,5312
293,299.4504123195673,1663
294,299.1986550785984,23499
295,298.15550263323604,3853
296,296.44840424179273,20784
297,296.43073582317396,13444
298,295.7870810055146,6924
299,295.7276118332935,900
300,295.6049835103717,13363
301,294.81483365495893,2801
302,291.21788944198175,8438
303,290.56036850046013,5625
304,288.3580651571813,5242
305,288.1209598901506,6469
306,287.3862452724173,516
307,287.13978003404196,5739
308,286.95164100703727,7682
309,286.5791506044961,4111
310,286.3908813118765,3323
311,284.706409579993,7079
312,284.57381071840234,3569
313,284.01507203455634,15979
314,283.8744113709318,7413
315,283.8591165829442,13550
316,283.8591165829442,13548
317,283.8591165829442,13557
318,283.8591165829442,13562
319,283.8591165829442,13567
320,283.78668262630765,22760
321,283.78668262630765,22758
322,283.78668262630765,22756
323,283.78668262630765,22763
324,283.78668262630765,22767
325,283.78668262630765,22769
326,283.78668262630765,22773
327,283.78668262630765,22781
328,283.78668262630765,22780
329,283.78668262630765,22784
330,283.78668262630765,22786
331,283.78668262630765,22791
332,283.78668262630765,22790
333,283.78668262630765,22787
334,283.78668262630765,22788
335,283.78668262630765,22792
336,283.36592817364317,7404
337,283.0021589035586,12752
338,282.83667608472234,8097
339,282.4897733488744,3077
340,282.1255060896626,16353
341,282.04159879435764,23242
342,281.9263261575111,3210
343,281.4651372509939,17757
344,280.9983894734077,7390
345,280.3706076640411,1959
346,279.2409307754408,2288
347,277.2974922812782,13166
348,275.16654717780233,10098
349,275.05221855298856,9268
350,273.8537540336252,6372
351,273.6190311807015,9911
352,273.5452177081186,10253
353,271.3562481174238,4147
354,271.13197379057334,23534
355,271.0103754077539,12333
356,270.3667957841052,13541
357,269.6259377625142,2254
358,269.3347189920762,25603
359,269.2731056816852,1673
360,268.1438966844437,9739
361,268.00347626892113,13439
362,267.79465062481626,12110
363,266.99647807782037,6961
364,266.2677779156025,11030
365,266.0988708373584,1189
366,265.5426628144554,12654
367,265.51123662710864,20005
368,265.0389303245157,17760
369,264.7077624981149,3070
370,263.57777598012854,4345
371,262.65004653008197,11921
372,262.5331742950374,12939
373,262.32376092983156,1863
374,261.27925506012855,16358
375,260.88453648406875,19738
376,259.09641790959046,23298
377,258.4450695233162,11353
378,258.04790694546944,1100
379,258.0173336164628,31379
380,257.83310020978234,18876
381,257.4991532466789,5707
382,256.63847518985966,12823
383,256.4575399403085,11847
384,256.2691854373815,11458
385,256.24626518600445,12331
386,255.4580831527623,27749
387,255.21156517794512,4843
388,255.18463725005313,807
389,255.12381359439817,14326
390,254.49491472502802,6903
391,254.01280903944752,11451
392,254.01280903944752,11457
393,254.01280903944752,11462
394,254.01280903944752,11466
395,253.0184263149004,17140
396,252.58745100706201,23926
397,252.39493131639435,8379
