,core,degree,h,influence,u
0,134,272,56,36.086,25609
1,134,263,82,33.854,25580
2,134,270,1,33.37,3333
3,134,191,56,33.275,25583
4,134,191,56,33.241,25576
5,134,191,56,32.945,25578
6,114,182,1,32.748,22771
7,134,192,56,32.6,25579
8,134,180,56,32.068,25608
9,134,184,1,31.959,25490
10,134,191,56,31.957,25584
11,134,191,56,31.894,25577
12,134,217,58,31.719,14081
13,134,180,56,31.649,25591
14,134,191,56,31.6,25586
15,134,180,56,31.541,25594
16,134,186,56,31.394,25605
17,134,180,56,31.298,25602
18,88,283,1,31.196,17544
19,134,180,56,31.02,25588
20,134,196,56,30.99,25582
21,134,180,56,30.958,25574
22,134,180,56,30.887,25604
23,134,180,56,30.778,25592
24,134,180,56,30.765,25599
25,134,180,56,30.634,25597
26,134,192,1,30.599,5873
27,114,219,1,30.571,22777
28,134,182,56,30.497,7375
29,134,180,56,30.333,25596
30,134,184,56,30.308,1456
31,134,180,56,30.237,25590
32,134,180,56,30.153,25589
33,134,186,56,30.082,25593
34,134,180,56,30.035,25607
35,134,180,56,29.97,25610
36,114,208,55,29.513,19774
37,114,257,1,29.408,8515
38,134,180,56,29.261,25601
39,114,217,1,29.05,22795
40,114,182,55,28.963,22762
41,114,197,55,28.924,22782
42,114,217,1,28.603,22765
43,114,202,1,28.578,22768
44,114,217,1,28.492,22779
45,114,197,55,28.392,22772
46,112,136,1,27.849,22770
47,114,150,1,27.703,22731
48,114,141,1,27.701,22787
49,114,217,1,27.581,22764
50,114,141,1,27.221,22760
51,114,172,55,26.578,22776
52,111,141,56,26.529,25600
53,114,141,1,26.48,22763
54,111,124,1,26.333,25585
55,114,156,1,26.274,22796
56,114,156,1,26.189,22783
57,111,139,56,26.014,25603
58,114,141,1,25.972,22767
59,111,124,1,25.947,25598
60,114,141,1,25.85,22781
61,114,156,55,25.847,22766
62,114,156,1,25.847,16125
63,114,158,55,25.834,22793
64,114,141,1,25.735,22790
65,114,141,1,25.72,22788
66,114,150,1,25.693,22774
67,114,141,1,25.58,22784
68,114,141,1,25.469,22758
69,114,156,1,25.403,22789
70,114,141,1,25.364,22791
71,114,141,1,25.261,22792
72,114,141,1,25.031,22780
73,114,141,1,24.986,22773
74,114,141,1,24.852,22786
75,114,141,1,24.838,22769
76,114,156,1,24.561,22759
77,114,159,1,24.54,22728
78,114,141,1,24.452,22756
79,88,164,68,22.55,26533
80,78,100,56,20.905,25595
81,87,112,1,20.729,22729
82,82,209,1,20.228,17541
83,78,100,56,20.219,25606
84,78,95,56,20.16,26893
85,85,93,1,20.044,22775
86,86,102,1,19.912,22733
87,82,209,1,19.545,17527
88,78,80,1,19.451,26892
89,82,209,1,19.234,17540
90,78,80,1,19.095,27611
91,82,213,1,18.613,17529
92,65,174,1,18.453,26536
93,61,102,1,18.209,22778
94,135,193,1,18.067,13559
95,82,172,1,17.977,17543
96,82,209,1,17.922,17533
97,86,94,1,17.83,26535
98,135,211,1,17.447,13566
99,82,169,1,17.412,17538
100,135,193,1,17.391,13543
101,135,193,1,17.162,13545
102,82,169,1,17.066,17542
103,135,193,1,16.861,13544
104,135,174,1,16.8,13550
105,135,193,1,16.796,13560
106,82,172,1,16.785,17531
107,82,169,1,16.738,17535
108,135,193,1,16.681,13555
109,135,231,1,16.673,11907
110,135,193,1,16.62,13553
111,135,174,1,16.468,13557
112,72,137,1,16.388,18876
113,135,193,1,16.377,13556
114,135,180,1,16.302,10807
115,135,174,1,16.261,13562
116,135,197,1,16.165,13542
117,135,167,1,16.142,13547
118,135,148,1,16.119,13546
119,135,167,1,16.031,13552
120,135,167,1,15.996,13565
121,135,174,1,15.989,13548
122,135,185,37,15.697,13541
123,135,169,33,15.679,3762
124,135,174,1,15.651,13567
125,82,130,42,15.638,17528
126,135,148,1,15.533,13568
127,135,148,1,15.499,13554
128,135,185,37,15.459,13563
129,135,148,1,15.29,13561
130,82,130,42,15.258,17539
131,56,67,1,15.079,28331
132,135,148,1,15.062,13558
133,82,130,42,14.904,17534
134,82,130,42,14.65,17530
135,82,119,1,14.519,26346
136,82,120,1,14.503,18733
137,82,119,1,14.28,26355
138,56,56,1,14.107,30085
139,56,66,56,13.96,30084
140,82,119,1,13.955,26350
141,82,119,1,13.943,26361
142,82,119,1,13.915,26349
143,56,87,56,13.841,20784
144,56,56,1,13.82,30081
145,56,58,1,13.815,9124
146,82,119,1,13.746,26369
147,107,234,72,13.731,14866
148,55,61,46,13.677,27183
149,56,56,1,13.646,30078
150,48,48,48,13.576,26532
151,56,83,56,13.558,12654
152,82,119,1,13.536,26345
153,56,56,1,13.426,30079
154,56,56,1,13.35,30083
155,82,119,1,13.293,26356
156,112,118,1,13.269,13726
157,82,119,1,13.174,26353
158,121,221,65,13.099,13439
159,121,222,1,13.094,12650
160,56,96,1,13.076,5726
161,82,119,1,13.05,26357
162,56,60,56,12.979,935
163,82,119,1,12.906,26351
164,82,119,1,12.858,26372
165,44,44,1,12.74,25575
166,47,47,47,12.727,22757
167,56,56,1,12.707,30080
168,121,171,1,12.7,13444
169,82,119,1,12.688,26360
170,82,119,1,12.674,26352
171,56,67,1,12.672,7972
172,82,119,1,12.658,26370
173,121,194,1,12.607,12010
174,48,48,48,12.594,26534
175,76,90,25,12.551,17525
176,56,74,56,12.503,934
177,82,119,1,12.502,26347
178,121,152,1,12.465,13440
179,76,90,25,12.336,17532
180,44,44,1,12.245,25581
181,47,58,47,12.211,20604
182,121,152,1,12.157,13437
183,121,163,1,12.155,11926
184,44,44,1,12.087,25587
185,121,165,1,12.016,12009
186,56,56,1,11.991,30082
187,121,194,1,11.941,13442
188,48,69,1,11.815,26531
189,44,44,1,11.8,25573
190,76,90,25,11.791,17537
191,76,90,25,11.764,17536
192,88,90,1,11.742,13564
193,47,47,47,11.717,22761
194,121,163,1,11.697,11927
195,86,186,71,11.667,10509
196,121,161,1,11.663,13438
197,76,90,25,11.535,17526
198,121,152,1,11.52,13441
199,88,90,1,11.519,13549
200,47,47,47,11.422,22794
201,86,199,48,11.317,2034
202,41,41,1,11.296,27610
203,121,152,1,11.287,13443
204,82,119,1,11.275,26354
205,72,258,1,11.147,5567
206,47,47,47,11.039,22785
207,48,48,48,10.984,26537
208,46,46,1,10.823,28127
209,86,153,1,10.598,31379
210,74,79,42,10.577,36797
211,62,69,25,10.483,21691
212,68,82,1,10.452,26363
213,107,121,1,10.438,17140
214,74,79,42,10.391,36794
215,74,79,42,10.359,36795
216,74,86,42,10.327,21009
217,74,79,42,10.289,36793
218,107,142,23,10.214,17141
219,86,215,61,10.137,7387
220,74,79,42,10.083,36801
221,74,79,42,10.008,36791
222,74,79,42,9.831,36798
223,74,79,42,9.751,36800
224,73,79,1,9.718,13725
225,61,142,61,9.684,14896
226,92,238,1,9.534,5551
227,74,79,42,9.49,36802
228,72,140,1,9.344,12929
229,86,215,1,9.33,1723
230,43,55,1,9.282,25241
231,43,55,1,9.242,25242
232,86,161,69,9.029,28576
233,72,152,45,8.975,5105
234,62,67,25,8.942,17545
235,72,110,1,8.791,13002
236,43,57,1,8.697,25240
237,37,286,50,8.676,4840
238,81,85,1,8.609,17457
239,86,196,1,8.469,3216
240,86,145,58,8.454,925
241,72,108,1,8.446,14453
242,92,180,1,8.42,25117
243,61,114,61,8.347,9704
244,61,116,61,8.303,4843
245,86,125,1,8.193,900
246,72,115,1,8.109,14456
247,72,98,1,8.038,13739
248,86,143,1,8.002,10111
249,43,57,1,7.982,25246
250,72,194,72,7.969,4115
251,72,121,1,7.94,8513
252,86,132,1,7.939,23499
253,72,97,1,7.932,14463
254,43,55,1,7.919,25239
255,43,84,1,7.903,5917
256,66,101,1,7.861,12627
257,86,141,1,7.784,12823
258,72,150,72,7.75,19202
259,72,90,1,7.727,14451
260,86,115,48,7.719,32662
261,72,125,47,7.664,14447
262,72,123,72,7.638,19203
263,86,120,48,7.637,7181
264,86,115,1,7.604,20934
265,86,122,48,7.568,15403
266,86,92,48,7.519,32673
267,86,105,48,7.505,2665
268,72,148,72,7.502,9963
269,72,113,1,7.496,4345
270,72,96,72,7.48,24273
271,61,71,61,7.429,30923
272,61,87,61,7.36,17501
273,72,90,1,7.356,14450
274,72,90,1,7.333,14455
275,61,67,61,7.317,3196
276,61,61,61,7.314,31380
277,86,92,48,7.299,32669
278,72,98,1,7.297,13740
279,61,61,61,7.286,31399
280,92,167,1,7.262,6904
281,69,131,69,7.262,14692
282,86,92,48,7.258,32671
283,86,92,48,7.256,32668
284,86,92,48,7.2,32678
285,86,117,48,7.179,1979
286,61,61,61,7.168,31391
287,86,92,48,7.141,32660
288,61,88,61,7.138,30004
289,61,81,61,7.129,31381
290,86,113,48,7.122,22567
291,72,137,72,7.116,12311
292,61,98,61,7.111,12943
293,86,92,48,7.104,32680
294,72,90,1,7.102,14460
295,86,92,48,7.062,32666
296,72,100,1,7.058,14458
297,86,92,48,7.056,32665
298,72,139,72,7.049,12110
299,86,92,48,7.038,32661
300,72,117,72,7.031,14326
301,72,90,1,7.018,14461
302,51,233,44,7.008,15758
303,35,41,17,7.007,25243
304,61,61,61,7.003,31385
305,86,92,48,6.989,32670
306,86,93,48,6.987,24037
307,61,87,61,6.976,7305
308,61,63,61,6.955,23936
309,61,61,61,6.952,31386
310,86,92,48,6.93,32667
311,43,48,25,6.898,21693
312,86,92,48,6.895,32679
313,69,176,69,6.894,5883
314,86,92,48,6.888,32658
315,61,73,61,6.88,16456
316,86,92,48,6.869,32664
317,72,101,72,6.84,29843
318,86,92,48,6.826,32675
319,72,112,72,6.803,25751
320,72,90,1,6.794,14459
321,86,92,48,6.782,32663
322,61,85,61,6.768,31372
323,72,90,1,6.755,14457
324,86,92,48,6.742,32672
325,65,80,1,6.73,15710
326,72,108,1,6.718,14448
327,61,61,61,6.716,31375
328,61,86,61,6.685,31394
329,61,61,61,6.677,31376
330,72,121,72,6.65,7654
331,92,111,1,6.628,25091
332,72,100,72,6.605,29844
333,72,104,72,6.603,29847
334,72,90,1,6.595,14462
335,61,98,61,6.594,23298
336,86,92,48,6.575,32674
337,65,83,1,6.574,15709
338,61,94,61,6.569,23838
339,42,42,42,6.554,36799
340,72,89,72,6.554,14354
341,86,92,48,6.549,32676
342,61,61,61,6.533,31398
343,61,61,61,6.507,31383
344,86,97,48,6.486,14721
345,72,90,1,6.478,14449
346,61,61,61,6.459,31373
347,61,93,61,6.444,17504
348,61,61,61,6.435,31397
349,61,84,61,6.426,17019
350,72,90,1,6.403,14452
351,61,76,61,6.379,17929
352,61,61,61,6.364,31392
353,61,68,61,6.355,3197
354,36,121,36,6.33,5731
355,61,76,61,6.329,17104
356,92,139,1,6.314,11821
357,49,209,47,6.302,969
358,72,121,72,6.301,10544
359,86,92,48,6.299,32677
360,72,98,72,6.292,28857
361,61,67,61,6.258,25292
362,61,61,61,6.251,31387
363,72,96,72,6.215,33622
364,61,68,61,6.215,17503
365,86,92,48,6.215,32659
366,61,61,61,6.211,31377
367,61,61,61,6.21,31367
368,72,102,72,6.191,22482
369,61,61,61,6.184,31368
370,61,61,61,6.181,31390
371,61,61,61,6.173,31378
372,92,103,1,6.168,9603
373,72,86,72,6.158,23299
374,72,98,72,6.152,17936
375,72,72,72,6.147,33594
376,61,61,61,6.139,31384
377,61,61,61,6.134,31382
378,42,42,42,6.115,36796
379,37,153,32,6.112,5884
380,50,168,1,6.101,5568
381,61,61,61,6.095,31388
382,61,61,61,6.067,31393
383,92,95,1,6.058,22149
384,92,92,1,6.053,25106
385,61,61,61,6.041,31371
386,51,169,1,6.039,16370
