,S,average cover size,k,run time
0,"[52054, 207128, 190240, 239896, 24430]",14.494999999999958,5,0.01056100000000093
1,"[185564, 133188, 200782, 17227, 55781, 249420, 34218, 29584, 252660, 114471]",35.621999999999936,10,0.010224199999999684
2,"[198609, 73022, 250946, 100128, 10919, 97277, 158210, 201115, 2356, 35726, 140098, 216987, 208063, 260882, 15185]",63.468,15,0.010254500000002054
3,"[50976, 147487, 47688, 51257, 93094, 154844, 176501, 119882, 125111, 30139, 186125, 84801, 191251, 200311, 181383, 187777, 222619, 229615, 76449, 238319]",76.76299999999985,20,0.010330100000000897
4,"[10665, 233427, 118399, 59347, 229485, 122342, 31250, 100489, 23506, 142677, 184885, 181369, 219932, 110149, 87115, 204928, 87912, 10394, 167593, 201359, 129707, 116335, 178826, 65761, 163636]",90.00099999999975,25,0.010522699999999219
5,"[124617, 136979, 190350, 152274, 227527, 146119, 229243, 149108, 7333, 239514, 32531, 249095, 1366, 204112, 170699, 177137, 166481, 114682, 128709, 209286, 4719, 1887, 128108, 160803, 47717, 12340, 32578, 16891, 240189, 259422]",116.72599999999974,30,0.009848200000000418
6,"[10713, 61329, 163719, 54444, 95668, 67305, 202448, 226098, 48329, 9338, 181789, 114932, 131451, 17249, 155504, 34281, 56640, 242621, 33324, 73323, 64078, 86818, 233788, 147944, 194147, 260802, 81161, 90429, 40396, 89458, 99783, 72237, 110487, 245303, 204142]",136.63400000000016,35,0.009988400000001008
7,"[70230, 216085, 243768, 78805, 62367, 82389, 135892, 227270, 88210, 39868, 73203, 147219, 156526, 139546, 230091, 36216, 163358, 111992, 255667, 151554, 141042, 215431, 49773, 7905, 184789, 126062, 188794, 87294, 57965, 120504, 33933, 108136, 137417, 253785, 241341, 43042, 101076, 106699, 102105, 245714]",161.6450000000003,40,0.010280500000000359
8,"[35763, 226738, 102870, 124306, 143179, 229915, 214294, 45585, 144545, 22737, 55617, 204745, 44923, 135367, 15852, 134258, 137254, 68256, 71897, 193686, 39335, 148873, 117597, 219649, 243343, 202998, 244237, 205991, 137404, 96369, 231532, 59454, 13372, 70830, 50817, 236204, 16645, 108297, 104047, 76780, 246380, 86986, 105005, 40520, 140729]",187.25900000000016,45,0.010307799999999645
9,"[11097, 219384, 13573, 13899, 90582, 121786, 131193, 242496, 230080, 163377, 18344, 234701, 110963, 108913, 45274, 11148, 219533, 141014, 232712, 117843, 202269, 189690, 24566, 240943, 249159, 23388, 216102, 225441, 96033, 195679, 118789, 238961, 65552, 25238, 48424, 5858, 177269, 21027, 52523, 246400, 233441, 221277, 150101, 229450, 157341, 24582, 65559, 250451, 225872, 159183]",177.21600000000015,50,0.009971900000000034
