,S,average cover size,k,run time
0,"[161764, 400746, 294688, 45984, 289393]",9.15199999999994,5,0.010540499999999398
1,"[181419, 391815, 390185, 120609, 257612, 235506, 319024, 122245, 73488, 407381]",20.10599999999993,10,0.010932900000000245
2,"[54043, 63648, 26921, 397506, 400298, 312571, 404004, 240029, 211420, 342404, 259603, 206294, 267755, 29049, 385405]",55.777999999999864,15,0.009544200000000558
3,"[129489, 107352, 129274, 71162, 163292, 304603, 87707, 172401, 208355, 179412, 244915, 221601, 360385, 251714, 97688, 90551, 404736, 77953, 378159, 323700]",46.88899999999983,20,0.009760599999999897
4,"[23087, 362537, 393241, 5563, 109633, 419914, 186834, 380765, 72646, 187906, 269332, 42195, 181817, 188648, 95015, 156373, 302108, 373412, 356164, 259203, 223575, 34645, 241305, 121252, 345471]",83.16799999999989,25,0.009370099999999937
5,"[269659, 162788, 242786, 100968, 140288, 347115, 225012, 342130, 291460, 60242, 379583, 25158, 244969, 178974, 72466, 318032, 344472, 190192, 74243, 241148, 393222, 319518, 408109, 44745, 409546, 65005, 369191, 52995, 168728, 400150]",101.89399999999972,30,0.010533099999999962
6,"[276477, 241890, 383378, 202649, 135720, 150256, 89141, 350546, 180631, 289509, 274810, 152859, 251019, 57964, 80062, 392375, 110343, 73365, 293599, 382143, 239069, 21966, 243420, 424693, 158827, 267390, 400011, 42475, 306145, 421832, 180704, 95368, 205887, 176230, 287294]",115.49199999999982,35,0.009855199999998732
7,"[237475, 413218, 375443, 323759, 233166, 135813, 266989, 314035, 215370, 337755, 334920, 97852, 185799, 351921, 184775, 23121, 80834, 251224, 133270, 189394, 258478, 295133, 347502, 199682, 155824, 287409, 400006, 277060, 344155, 70228, 103074, 321210, 259738, 286627, 239211, 268573, 392755, 235259, 193292, 418711]",89.83499999999964,40,0.009246100000000368
8,"[195742, 359207, 179389, 405952, 186526, 26406, 113754, 380928, 376555, 176278, 324407, 111417, 233150, 52473, 300607, 105326, 59413, 124501, 58292, 106938, 415608, 262321, 105554, 42240, 215336, 27383, 269251, 411732, 55563, 227764, 43778, 212446, 362922, 202970, 77651, 135607, 327534, 147573, 75815, 245989, 74591, 358115, 62275, 313063, 208568]",162.32199999999995,45,0.010522999999999172
9,"[305644, 91141, 392336, 351879, 193881, 243070, 312173, 196856, 172554, 264988, 307153, 133567, 224372, 357756, 225985, 235554, 326839, 167089, 13831, 37815, 70882, 425319, 228019, 411202, 89384, 119040, 386632, 325937, 327514, 381797, 271376, 94558, 210945, 102237, 165922, 403182, 65297, 277598, 286691, 282140, 93789, 134346, 69582, 367488, 98403, 398088, 252380, 296560, 401179, 169260]",311.1430000000007,50,0.009513899999999964
