,S,average cover size,k,run time
0,"[31851, 62261, 28597, 230, 55566]",9.792000000000057,5,0.0027973999999986177
1,"[41854, 33443, 31953, 42266, 27126, 1808, 13412, 25749, 38400, 30936]",20.746999999999968,10,0.002339299999999156
2,"[35518, 20362, 44648, 43204, 8188, 74088, 69830, 62119, 30315, 30517, 43400, 42093, 46316, 39657, 49021]",39.37499999999991,15,0.002120699999998976
3,"[40557, 26656, 37804, 30195, 59386, 39096, 40955, 28383, 13760, 29070, 6804, 54898, 61980, 578, 19196, 35990, 20838, 10803, 49554, 31815]",95.04700000000024,20,0.0021321000000007473
4,"[41281, 57342, 22741, 30439, 10364, 16120, 41170, 7152, 52403, 19219, 47630, 9896, 30798, 44296, 62461, 56221, 15421, 23278, 33516, 31456, 35994, 43000, 10196, 64457, 45153]",100.4600000000002,25,0.0019428000000001333
5,"[15350, 27748, 44338, 13812, 61600, 9335, 59167, 45406, 36077, 30717, 17839, 21397, 32283, 50228, 67683, 12235, 24070, 74127, 4199, 60940, 3627, 10521, 34975, 72541, 1853, 70740, 7308, 55741, 50846, 4876]",196.88900000000027,30,0.0022964999999999236
6,"[17603, 44476, 26306, 35854, 50003, 68717, 65430, 18355, 64982, 37314, 47995, 69930, 64680, 21180, 32645, 67535, 56492, 30757, 19606, 74645, 38287, 49383, 75623, 57213, 10726, 18142, 52268, 25041, 24219, 30653, 74699, 64883, 64757, 2663, 38461]",152.02599999999995,35,0.0020551000000015307
7,"[54594, 36776, 40459, 56033, 12826, 40967, 19790, 48505, 6974, 61335, 61198, 14223, 9759, 39220, 35082, 23655, 58648, 36280, 16289, 22021, 5555, 34288, 2721, 38004, 19241, 14478, 37346, 34741, 74969, 5634, 22084, 22237, 35689, 69068, 36457, 30804, 708, 38582, 23700, 37158]",232.63600000000002,40,0.0022402000000010247
8,"[43644, 58633, 57013, 23976, 60990, 53100, 50643, 48638, 54537, 33593, 60718, 59490, 7978, 35352, 63542, 67117, 72332, 3126, 26772, 34711, 70175, 65353, 49221, 54320, 73467, 70985, 60866, 17034, 75096, 45823, 69547, 25382, 15310, 16112, 10435, 9169, 1829, 63977, 6783, 9032, 66405, 23228, 9069, 74934, 14372]",200.09700000000012,45,0.0023287999999990205
9,"[68756, 71487, 9109, 57225, 25482, 51701, 65884, 21871, 15309, 15489, 52713, 72115, 2791, 53535, 39245, 24417, 28352, 55040, 11648, 19539, 40620, 23983, 45075, 60263, 43547, 23013, 10278, 63430, 19568, 28700, 28032, 15421, 10434, 29286, 43993, 4267, 34508, 10251, 5753, 63652, 63023, 42002, 12343, 32345, 41356, 23300, 27164, 47742, 56570, 54360]",211.725,50,0.002542500000000558
