,S,average cover size,k,run time
0,[6596],1.024999999999998,1,0.00046790000000029863
1,"[3750, 15464]",2.104999999999988,2,0.0002876000000000545
2,"[22031, 41127, 55739]",3.164000000000005,3,0.0002459999999997464
3,"[51609, 35037, 64226, 55517]",4.131999999999982,4,0.00026789999999987657
4,"[54655, 30946, 48724, 2891, 50056]",5.5249999999999355,5,0.0003260000000002705
5,"[2537, 42618, 295, 54465, 55260, 57772]",6.4949999999999815,6,0.0003255999999991488
6,"[16415, 64698, 46161, 13210, 8208, 4083, 48095]",7.130999999999891,7,0.0003199000000000396
7,"[50597, 7887, 40634, 6647, 67453, 295, 58086, 59264]",8.734999999999994,8,0.00035939999999978767
8,"[9948, 6719, 36341, 10927, 43272, 49642, 39647, 21428, 6047]",9.526000000000057,9,0.00032629999999933545
9,"[42582, 46542, 16211, 62889, 41342, 16925, 27442, 13214, 31890, 34310]",10.334999999999852,10,0.00032339999999919655
10,"[15874, 65516, 62597, 7464, 59521, 53510, 8127, 47392, 60411, 10258, 62094]",11.714999999999886,11,0.00028799999999939985
11,"[67317, 66135, 29335, 2469, 37720, 20046, 51336, 38958, 3975, 53241, 45898, 47605]",13.136999999999967,12,0.00033489999999947173
12,"[3767, 66998, 2469, 68026, 30998, 18220, 56184, 51112, 47409, 9706, 50747, 28159, 25569]",13.923999999999918,13,0.0002886999999995865
13,"[47949, 23318, 47233, 18540, 46338, 62418, 32259, 5545, 4087, 64865, 61013, 59150, 20670, 16064]",14.614999999999892,14,0.00033560000000054657
14,"[9558, 68128, 51036, 56424, 68571, 13201, 44884, 20793, 38422, 5343, 41392, 13052, 6614, 68631, 68125]",16.068000000000062,15,0.0003671000000000646
15,"[6902, 5888, 16031, 8727, 47775, 36605, 68025, 6091, 49466, 4104, 7821, 26930, 46186, 28951, 38467, 23448]",16.94399999999992,16,0.000525899999999524
16,"[24714, 10580, 159, 12511, 46790, 10772, 48904, 42506, 27128, 51266, 55737, 46534, 49108, 51565, 17166, 68510, 41477]",17.834999999999965,17,0.0003337999999999397
17,"[13200, 52435, 5545, 35001, 47058, 51161, 51240, 20417, 63381, 56629, 34620, 13389, 13745, 42378, 44873, 39808, 18136, 63200]",18.66500000000011,18,0.00035249999999997783
