,S,average cover size,k,run time
0,[53282],1.0639999999999945,1,0.0003425000000003564
1,"[19740, 11535]",2.0679999999999934,2,0.00031059999999971666
2,"[5482, 58495, 9117]",3.1420000000000035,3,0.00025160000000035154
3,"[5968, 37360, 64600, 48076]",4.120999999999983,4,0.0003143999999997149
4,"[28507, 216, 46281, 28723, 25795]",5.123999999999924,5,0.0002703000000003897
5,"[1035, 44448, 28050, 53974, 50938, 23025]",6.476999999999998,6,0.00035960000000034853
6,"[21419, 12576, 27911, 60246, 21999, 23918, 32205]",7.574999999999939,7,0.00035909999999983455
7,"[55976, 64600, 61104, 52728, 39144, 17581, 55937, 2885]",8.187000000000003,8,0.0003366999999991904
8,"[66200, 4405, 17838, 65314, 20944, 26860, 58842, 3430, 15756]",9.476000000000049,9,0.00027630000000034016
9,"[47400, 10537, 41595, 67862, 44791, 41935, 64212, 44753, 34179, 44820]",10.596999999999854,10,0.00039500000000014523
10,"[2377, 31029, 47543, 32660, 8199, 26860, 10074, 55709, 40897, 24201, 57597]",11.491999999999866,11,0.0002805999999999642
11,"[33137, 52364, 34829, 8143, 16675, 62878, 8888, 34121, 46932, 30911, 14831, 28554]",12.525999999999982,12,0.0003394999999999371
12,"[19169, 47542, 40221, 15618, 28671, 18779, 40895, 63586, 44600, 10953, 45226, 5033, 8979]",14.784999999999952,13,0.00028249999999996334
13,"[24196, 4247, 46624, 61234, 60806, 30407, 60814, 16754, 37485, 64400, 42923, 14429, 54012, 14088]",14.394999999999872,14,0.0003394000000005448
14,"[37395, 5399, 41043, 52762, 58029, 23457, 40327, 35096, 35941, 56382, 2013, 7273, 47064, 61262, 11410]",16.126000000000058,15,0.0003371999999997044
15,"[22916, 9949, 64787, 8404, 1037, 23132, 6859, 27263, 16827, 68744, 61844, 24765, 47775, 60932, 51615, 15408]",17.06499999999993,16,0.000318400000000274
16,"[39460, 10525, 7522, 33545, 65687, 42276, 16164, 17409, 54789, 5965, 42584, 2600, 38870, 23146, 40709, 21076, 28737]",18.910999999999994,17,0.00023790000000012412
17,"[56759, 23173, 47725, 17699, 15408, 18540, 35119, 8285, 40274, 48198, 4284, 2465, 43718, 10978, 60453, 41032, 42274, 37025]",19.04800000000004,18,0.00037690000000001334
18,"[33973, 43016, 11119, 13111, 20108, 50970, 43686, 43588, 739, 33108, 56437, 644, 39598, 61324, 41143, 40656, 56644, 16424, 65215]",20.135999999999868,19,0.00034889999999965227
19,"[44610, 58414, 51268, 25029, 54576, 47295, 56629, 55442, 63359, 11203, 64615, 21525, 13337, 46339, 25614, 46745, 54573, 53023, 4114, 56151]",20.649999999999892,20,0.000295200000000051
20,"[65931, 32635, 65661, 24561, 8980, 48343, 13388, 58323, 56855, 21858, 16933, 9208, 40580, 10568, 54375, 47871, 58546, 59316, 1792, 60324, 50234]",22.7079999999999,21,0.0003703000000001566
21,"[21209, 3106, 45008, 41700, 34142, 10926, 41098, 47219, 20108, 44787, 25096, 56269, 32109, 9888, 15843, 19280, 28638, 43548, 6266, 34671, 30647, 49517]",23.195999999999753,22,0.0003142000000000422
22,"[17033, 36213, 6519, 58704, 45189, 177, 58797, 66890, 17177, 49046, 8218, 26646, 57332, 20535, 60933, 24608, 63383, 52763, 30836, 25714, 60188, 14107, 22285]",23.74799999999985,23,0.0003224999999993372
23,"[10172, 61101, 62446, 11012, 6184, 43994, 27356, 37666, 10669, 64189, 34481, 42287, 61742, 26997, 3424, 5338, 41688, 3928, 31613, 33072, 56663, 37512, 48624, 51147]",25.83199999999987,24,0.00044089999999918916
24,"[13447, 44990, 6515, 53091, 3984, 25639, 1099, 4255, 12530, 61338, 42342, 59690, 6169, 48611, 66518, 28534, 53502, 23824, 16733, 15635, 58069, 50029, 40221, 24311, 31502]",26.478999999999825,25,0.00031300000000022976
25,"[28262, 67911, 12462, 43356, 37221, 12590, 6046, 16933, 28111, 20434, 42946, 65338, 50738, 22968, 9793, 25345, 64960, 65369, 22847, 66513, 47552, 65697, 4255, 41378, 16649, 52662]",27.114999999999885,26,0.00036020000000114294
26,"[23818, 66250, 37072, 14347, 22271, 8275, 36914, 51388, 14905, 32277, 23860, 4446, 45739, 22787, 6439, 34475, 17035, 26629, 464, 40399, 34173, 50662, 30498, 48264, 35025, 41608, 14742]",28.223999999999904,27,0.0003212000000001325
27,"[1132, 12899, 47483, 39602, 14501, 33727, 10602, 57209, 34744, 33980, 36682, 49022, 58149, 18720, 65818, 31382, 57605, 13200, 60375, 66470, 23127, 3360, 37312, 37174, 1559, 49805, 42859, 57628]",28.95999999999979,28,0.00023460000000063985
28,"[33108, 57209, 42698, 12863, 37662, 54589, 64186, 32834, 6078, 12434, 26122, 30957, 15032, 61762, 4074, 440, 8867, 7396, 34397, 65121, 18681, 25330, 25326, 25844, 4869, 51902, 66173, 5461, 33253]",30.584000000000014,29,0.0003390000000003113
29,"[45226, 28376, 38375, 6284, 32613, 64594, 22156, 37369, 3106, 215, 64175, 13832, 30372, 33092, 2704, 674, 22115, 1630, 37292, 68567, 30411, 56910, 19436, 41028, 19997, 10683, 23571, 21911, 16765, 49033]",31.540000000000003,30,0.0003300999999993337
30,"[46745, 54665, 62460, 40536, 14304, 47415, 25276, 4436, 24239, 1337, 34399, 42276, 30787, 41823, 31250, 27436, 34131, 24165, 11203, 26576, 32728, 57648, 30834, 65516, 24263, 10447, 4561, 34633, 21165, 52725, 24970]",32.73499999999996,31,0.0003535999999986217
31,"[5511, 64720, 59836, 43751, 23307, 25764, 67167, 28426, 56039, 56798, 17100, 41477, 51397, 60999, 48388, 17576, 67080, 20994, 23634, 37726, 20138, 53058, 44556, 9887, 1189, 21550, 26398, 48104, 59730, 61834, 2948, 23567]",34.39400000000003,32,0.00033660000000068635
32,"[64447, 38929, 4896, 52979, 57054, 4535, 31514, 11421, 62074, 59216, 63333, 377, 12485, 2013, 59682, 8134, 44996, 48407, 14905, 16936, 22769, 41097, 39262, 458, 9220, 41179, 33796, 15224, 18550, 20005, 55838, 38384, 740]",34.38600000000008,33,0.0002957999999999572
33,"[55511, 49690, 29970, 39272, 54810, 63504, 51690, 62920, 38507, 52662, 24259, 17081, 34735, 22846, 33544, 65314, 50243, 23480, 44877, 12175, 65185, 66149, 1767, 23766, 54711, 37887, 23486, 53308, 53282, 2079, 51207, 65622, 28489, 15219]",35.97199999999998,34,0.00033690000000063947
34,"[41137, 63272, 43576, 897, 25031, 10310, 50367, 31922, 9171, 10180, 47543, 21699, 2411, 36928, 14522, 2337, 47359, 20410, 29754, 20075, 6224, 39984, 2525, 21312, 41958, 27064, 15396, 57794, 66156, 49548, 10960, 58376, 58223, 4405, 2943]",36.43300000000007,35,0.0003539999999997434
35,"[40369, 28128, 26861, 165, 38334, 20006, 60246, 57262, 291, 16428, 23204, 58029, 46981, 67620, 3313, 60150, 42890, 68004, 56800, 16476, 21157, 66217, 10656, 18253, 7260, 40316, 1035, 2735, 38150, 18125, 1337, 20799, 50386, 11688, 11046, 768]",37.56800000000001,36,0.00035249999999997783
