,k,run time,average cover size,S
0,1,0.00020600000000037255,2.63199999999994,[23539]
1,2,0.00045549999999972,2.0779999999999927,"[47983, 87819]"
2,3,0.00016140000000008925,25.490000000000098,"[46158, 9957, 21338]"
3,4,0.00035230000000030515,4.676999999999929,"[52845, 26346, 35819, 26882]"
4,5,0.0003533000000004449,5.292999999999923,"[71717, 19895, 9265, 21002, 30749]"
5,6,0.0003876999999992137,13.692999999999964,"[86998, 41349, 62435, 45888, 29697, 8837]"
6,7,0.00040239999999958087,31.24000000000024,"[19216, 75636, 37559, 66550, 15310, 11128, 48872]"
7,8,0.0003522000000000247,411.1219999999998,"[55113, 59229, 35262, 54497, 84519, 60582, 79961, 54212]"
8,9,0.00039730000000304244,415.85600000000056,"[37619, 4434, 12428, 4755, 6852, 19324, 40400, 37434, 73830]"
9,10,0.0003823000000124921,191.2269999999995,"[51237, 507, 80002, 64536, 21145, 80464, 6738, 29732, 86944, 89118]"
10,11,0.0004439000000076021,61.30100000000046,"[18688, 51472, 4119, 12744, 24357, 63507, 31713, 26099, 57620, 67250, 16490]"
11,12,0.00047010000000113905,412.08600000000035,"[43097, 85668, 44782, 13097, 76681, 3259, 13812, 80865, 84874, 19825, 33765, 42641]"
12,13,0.0005184000000042488,209.91299999999998,"[74105, 27026, 7495, 19159, 65389, 35569, 11987, 62228, 6183, 22769, 65989, 64652, 16902]"
13,14,0.0004574999999817919,132.11200000000034,"[68955, 79943, 43450, 24679, 26236, 20484, 56043, 33338, 31642, 12204, 62421, 14322, 42550, 18252]"
14,15,0.00035520000000133223,436.08900000000045,"[80889, 12784, 43667, 16369, 8555, 3959, 74557, 7104, 56639, 19824, 35839, 16211, 77889, 60144, 3129]"
15,16,0.0003770999999801461,130.49700000000018,"[54506, 32708, 57471, 57080, 34836, 62650, 45485, 58532, 87282, 72211, 61085, 304, 68772, 46353, 65590, 63621]"
16,17,0.00035560000000600667,225.07900000000018,"[41853, 32939, 48964, 72279, 1531, 60765, 18521, 4505, 51212, 50231, 35164, 52663, 82438, 46591, 31930, 78521, 79985]"
17,18,0.0004397999999810054,46.68200000000001,"[11148, 3219, 71295, 68860, 1101, 71915, 80303, 7541, 83269, 49295, 69442, 11538, 85207, 59731, 59725, 33927, 14595, 61152]"
18,19,0.0003577999999890835,103.08300000000014,"[58068, 7327, 53359, 31286, 69880, 59804, 75609, 11105, 6740, 83290, 25445, 80648, 78171, 6517, 86950, 19345, 32523, 23168, 63706]"
19,20,0.00036579999999730717,148.2980000000003,"[45247, 88698, 60109, 12481, 5129, 76341, 32121, 67885, 73914, 70992, 29523, 9798, 69564, 74550, 60814, 730, 83883, 17517, 68066, 27313]"
20,21,0.00035829999998782114,271.0869999999996,"[39806, 22765, 46241, 6228, 42934, 53983, 80097, 87983, 21002, 39465, 33134, 31719, 50543, 11600, 25482, 17943, 22189, 47043, 20884, 47827, 76446]"
21,22,0.0003598000000124557,472.3080000000004,"[50049, 81615, 58524, 7472, 64053, 48204, 9381, 23353, 14650, 36458, 72564, 8690, 46505, 57307, 86537, 35088, 44805, 34949, 6182, 31512, 75984, 26251]"
22,23,0.0003866000000130043,330.287,"[61293, 58835, 72104, 49560, 22749, 21325, 35935, 49689, 58513, 50563, 14633, 24158, 5401, 86176, 11210, 42179, 87696, 75735, 56455, 41699, 16175, 85966, 12883]"
23,24,0.0004718000000139,98.12500000000051,"[33031, 71406, 37353, 51585, 63776, 74627, 65660, 9345, 27431, 24937, 68083, 42050, 88322, 22762, 82309, 69058, 7663, 63342, 16613, 40789, 24586, 62089, 29794, 50990]"
24,25,0.0003556000000344284,91.06600000000051,"[24783, 10899, 86516, 11327, 939, 59476, 17388, 33315, 21422, 28002, 74305, 38342, 66705, 82127, 35722, 73905, 81802, 74245, 9956, 62652, 15418, 16530, 39245, 14802, 22591]"
25,26,0.00036779999999225765,111.44800000000065,"[58359, 66918, 56365, 47128, 40639, 44015, 13215, 23981, 33004, 80025, 65890, 86950, 20016, 68533, 76589, 86309, 19437, 20797, 69227, 46460, 9894, 76688, 64432, 88918, 9799, 34313]"
26,27,0.0004020999999738706,457.68699999999967,"[11552, 77457, 14320, 64714, 63519, 885, 56591, 49785, 77360, 45132, 13408, 18421, 15192, 88298, 80525, 30699, 56958, 80996, 8379, 87702, 45957, 31792, 29773, 41494, 87239, 328, 67625]"
27,28,0.00040239999998448184,470.78300000000075,"[54177, 38712, 34256, 4946, 40359, 79437, 26511, 72096, 1914, 7801, 60345, 18485, 41738, 75638, 1039, 4781, 558, 72560, 44940, 80286, 10824, 62370, 74419, 59687, 17132, 89193, 76908, 15456]"
28,29,0.0005666999999789368,480.7650000000002,"[69145, 8265, 68973, 82547, 6227, 76219, 37442, 31149, 40094, 84280, 70656, 21762, 10567, 77623, 50446, 33032, 41964, 59377, 63647, 32506, 65353, 63354, 61441, 59746, 81998, 37424, 2381, 34932, 17284]"
29,30,0.00039550000002464003,483.0490000000006,"[13616, 17813, 62459, 4500, 35073, 85757, 88942, 87423, 3649, 41707, 60289, 32498, 89118, 8709, 81455, 49443, 9574, 46937, 72020, 54937, 32592, 22506, 14366, 23517, 63963, 7770, 72452, 57568, 69403, 5505]"
30,31,0.00038960000000543005,474.28399999999976,"[60931, 30952, 53609, 22463, 69114, 48059, 13534, 7417, 53549, 53637, 74319, 60967, 83734, 1151, 27431, 8108, 25137, 21384, 69145, 78430, 72506, 67261, 71285, 1820, 66885, 77374, 52930, 55348, 46582, 81447, 69516]"
31,32,0.00041850000002341403,463.62899999999973,"[79194, 38928, 29227, 88223, 31360, 32524, 17291, 23904, 889, 84880, 39745, 31284, 22311, 75335, 35266, 62872, 32202, 728, 19204, 14564, 21316, 59235, 86418, 68391, 45559, 37434, 65892, 28452, 83391, 82603, 14887, 17151]"
32,33,0.00040490000003501336,380.9350000000001,"[50183, 36700, 16879, 9926, 19777, 34617, 38581, 53641, 44009, 18470, 56840, 74224, 36529, 16149, 13799, 89117, 55348, 78111, 22746, 68966, 71103, 73178, 70781, 29688, 31957, 64738, 81400, 69898, 83025, 72546, 78746, 59314, 56587]"
33,34,0.0003992999999127278,215.21200000000013,"[38406, 57150, 53126, 6595, 38631, 40339, 39682, 52743, 78530, 70910, 15932, 46173, 86483, 15030, 60968, 12771, 78112, 5361, 43210, 11344, 87999, 56541, 59740, 72948, 2252, 9262, 29589, 42277, 20130, 48029, 39465, 44780, 24159, 67284]"
34,35,0.000382400000034977,481.59799999999996,"[45837, 88973, 23727, 55441, 183, 12087, 30960, 35150, 55638, 75556, 71173, 28094, 8772, 64031, 23355, 47074, 221, 22934, 31339, 34313, 5212, 47222, 81351, 68730, 10864, 14182, 52839, 1163, 66220, 79495, 26607, 88979, 20120, 49873, 2294]"
35,36,0.0003610999999636988,488.80199999999985,"[44850, 59687, 68264, 70270, 66307, 85202, 56072, 51872, 42050, 60681, 43357, 84688, 61888, 3959, 33875, 74335, 53884, 2329, 75093, 53168, 70014, 12956, 74305, 31301, 7770, 67077, 13253, 64826, 45131, 24253, 5298, 39952, 40194, 22402, 71714, 55492]"
36,37,0.00047150000000328873,472.30100000000004,"[31240, 27882, 31765, 7081, 17154, 63361, 28075, 1467, 8573, 77019, 52111, 78599, 48751, 8545, 11991, 21585, 83277, 16413, 35163, 40845, 43177, 11519, 11061, 4434, 16541, 1084, 75146, 15262, 45281, 41650, 14315, 24320, 16053, 53637, 9801, 65885, 17010]"
37,38,0.00047189999997954146,259.1769999999998,"[72233, 14022, 40526, 20623, 22897, 72877, 10487, 76337, 48839, 8555, 2089, 76720, 39963, 61283, 83304, 73045, 14954, 77208, 33772, 47851, 41287, 36850, 75128, 35840, 55170, 39952, 83209, 31976, 70911, 63704, 53359, 55671, 58359, 80514, 74899, 86159, 74351, 81785]"
38,39,0.0004913000000215106,99.70200000000034,"[82124, 62360, 30009, 77371, 76608, 66955, 9911, 88328, 57815, 33345, 62581, 46877, 74539, 72831, 72884, 58621, 79791, 42778, 54912, 33858, 41696, 7472, 58328, 32144, 39319, 25008, 44492, 79898, 54498, 38064, 25406, 60765, 25442, 23156, 57013, 17494, 18895, 85594, 63006]"
39,40,0.0006140000000414148,392.04900000000055,"[52663, 56072, 63467, 65163, 30803, 65990, 16213, 2007, 77371, 80027, 20602, 20771, 87276, 69564, 42454, 66275, 60398, 76997, 20045, 37376, 69880, 84867, 24366, 63621, 44614, 71908, 51290, 38649, 60453, 71670, 84825, 59965, 27555, 63440, 24756, 18613, 10567, 78441, 44487, 63707]"
40,41,0.00037989999998444546,295.5550000000003,"[87000, 19342, 25902, 42783, 972, 6023, 11213, 83226, 52124, 53435, 22397, 30361, 51218, 55842, 54486, 79514, 27352, 46926, 39927, 67348, 49861, 16372, 6631, 63856, 778, 13407, 81938, 56567, 14404, 4003, 21575, 78895, 46491, 63716, 46207, 79644, 32803, 16190, 6540, 15309, 8308]"
41,42,0.00036969999996472325,474.7069999999995,"[71638, 49029, 18636, 79834, 86032, 62893, 35836, 38886, 77086, 55227, 942, 10330, 33584, 63637, 62475, 50548, 64874, 33207, 80667, 52232, 43082, 88596, 8659, 83537, 51428, 80325, 40180, 80628, 50309, 4256, 28475, 19407, 64652, 30271, 5576, 35690, 31374, 28454, 81915, 33031, 85740, 38171]"
42,43,0.0003854000000274027,498.80700000000036,"[39955, 30005, 16328, 67205, 41845, 43539, 34086, 22266, 50253, 15275, 55681, 79301, 65387, 10760, 58073, 2502, 52917, 59843, 16175, 57619, 80027, 85072, 5959, 58582, 885, 23199, 46877, 28143, 80390, 4725, 72290, 32896, 57419, 42739, 31289, 1925, 181, 26184, 30279, 71962, 55348, 51090, 14475]"
43,44,0.000367999999980384,403.1070000000009,"[59197, 47055, 44782, 56376, 28815, 75127, 55665, 39682, 88329, 86537, 50642, 8105, 8110, 22806, 2391, 29156, 30007, 35788, 78550, 50089, 74364, 37425, 26907, 33311, 86998, 42959, 46590, 86397, 1850, 9371, 727, 58318, 89150, 43666, 33031, 77618, 5128, 60144, 8268, 30905, 61287, 60013, 38389, 64828]"
44,45,0.00046250000002601155,445.39599999999973,"[54507, 85486, 71138, 24732, 71929, 28800, 30802, 10805, 35896, 28369, 76208, 46969, 25094, 87641, 47808, 56971, 28761, 29016, 45948, 86900, 16490, 55507, 27801, 31880, 34950, 27311, 36701, 27878, 45838, 77044, 32796, 89039, 73170, 41696, 61293, 44249, 52869, 51508, 45246, 76327, 63525, 43642, 81615, 36707, 4451]"
45,46,0.00040430000001379085,402.7349999999999,"[20950, 65325, 88796, 36721, 48210, 32222, 21288, 6645, 22290, 11105, 20115, 14557, 8698, 62474, 44487, 68859, 81888, 13198, 38570, 80562, 26279, 68567, 44689, 5515, 79143, 23885, 69465, 68426, 18759, 7774, 18896, 42664, 62810, 53339, 4949, 53998, 50625, 18297, 87999, 56970, 2219, 9557, 21721, 63619, 59795, 34274]"
46,47,0.00039709999998649437,480.0979999999998,"[337, 51237, 31194, 86566, 21601, 8061, 34452, 30186, 75068, 22458, 15418, 83810, 56374, 21142, 39583, 32493, 80462, 55999, 83225, 4495, 50551, 10076, 62637, 52618, 68713, 73185, 55692, 63187, 28381, 11187, 22668, 14682, 43231, 78490, 10518, 84600, 19487, 32449, 22281, 12496, 88689, 38184, 29187, 76824, 80518, 85126, 14505]"
47,48,0.00037469999995209946,430.22399999999925,"[38270, 67321, 78936, 59804, 50525, 32963, 39833, 2091, 6854, 30788, 56947, 20999, 33455, 23165, 9717, 51618, 50544, 81170, 59375, 56123, 26987, 29993, 15416, 54740, 34785, 14509, 78197, 58375, 32494, 84596, 2175, 32346, 35895, 78249, 4749, 65269, 81916, 71712, 52066, 64048, 47881, 61655, 75565, 82269, 19129, 76889, 76611, 70011]"
48,49,0.0003837999998950181,504.51800000000014,"[39913, 59141, 48627, 2103, 70768, 38903, 20432, 43349, 17799, 45589, 61050, 33863, 72252, 69832, 66529, 19486, 38954, 31374, 31949, 65702, 30797, 46353, 61804, 42449, 69465, 41347, 30038, 20319, 9320, 13575, 84528, 1927, 87688, 76337, 75843, 61342, 779, 82913, 64923, 6974, 62636, 61361, 86033, 82139, 21308, 40662, 7801, 69241, 55442]"
49,50,0.0003939000000627857,496.7980000000001,"[31339, 51033, 30771, 364, 12733, 44305, 42927, 7359, 4676, 75564, 41574, 11482, 67144, 11659, 2404, 59367, 81003, 53299, 56453, 34822, 8032, 55881, 48353, 39337, 61247, 66265, 67216, 47859, 27923, 48247, 80128, 69243, 10082, 60047, 44530, 29642, 35121, 16369, 23262, 79284, 70116, 86032, 79257, 24757, 66970, 20036, 87264, 24252, 19866, 3107]"
