,k,run time,average cover size,S
0,1,1.3003999999998683e-05,1.007,[2160]
1,2,1.9505999999998024e-05,2.0489999999999955,"[2160, 14160]"
2,3,2.6007999999997366e-05,3.061000000000004,"[2160, 14160, 6738]"
3,4,3.2509999999996705e-05,4.091999999999988,"[2160, 14160, 6738, 13678]"
4,5,3.901199999999605e-05,5.219999999999926,"[2160, 14160, 6738, 13678, 3708]"
5,6,4.551399999999539e-05,6.202999999999999,"[2160, 14160, 6738, 13678, 3708, 8251]"
6,7,5.201599999999473e-05,7.258999999999897,"[2160, 14160, 6738, 13678, 3708, 8251, 13902]"
7,8,5.8517999999994075e-05,8.447000000000003,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540]"
8,9,6.501999999999341e-05,9.471000000000064,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640]"
9,10,7.152199999999276e-05,10.487999999999849,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141]"
10,11,7.80239999999921e-05,11.553999999999867,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441]"
11,12,8.452599999999145e-05,12.599999999999968,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848]"
12,13,9.102799999999078e-05,13.600999999999898,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331]"
13,14,9.752999999999013e-05,14.654999999999909,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868]"
14,15,0.00010403199999998947,15.592000000000093,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580]"
15,16,0.0001105339999999888,16.664999999999946,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626]"
16,17,0.00011703599999998815,17.755999999999947,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173]"
17,18,0.0001235379999999875,18.908000000000055,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495]"
18,19,0.00013003999999998682,20.04299999999981,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031]"
19,20,0.00013654199999998617,21.069999999999965,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881]"
20,21,0.00014304399999998552,22.105000000000032,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159]"
21,22,0.00014954599999998487,23.24699999999981,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594]"
22,23,0.0001560479999999842,24.198999999999845,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953]"
23,24,0.00016254999999998354,25.244999999999877,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953, 9987]"
24,25,0.0001690519999999829,26.31899999999983,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953, 9987, 14717]"
25,26,0.0001755539999999822,27.270999999999916,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953, 9987, 14717, 3380]"
26,27,0.00018205599999998156,28.428999999999924,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953, 9987, 14717, 3380, 9025]"
27,28,0.0001885579999999809,29.28199999999984,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953, 9987, 14717, 3380, 9025, 3825]"
28,29,0.00019505999999998026,30.349000000000036,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953, 9987, 14717, 3380, 9025, 3825, 4738]"
29,30,0.00020156199999997958,31.35099999999998,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953, 9987, 14717, 3380, 9025, 3825, 4738, 5481]"
30,31,0.00020806399999997893,32.44599999999999,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953, 9987, 14717, 3380, 9025, 3825, 4738, 5481, 13431]"
31,32,0.00021456599999997828,33.50900000000006,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953, 9987, 14717, 3380, 9025, 3825, 4738, 5481, 13431, 3370]"
32,33,0.0002210679999999776,34.46800000000001,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953, 9987, 14717, 3380, 9025, 3825, 4738, 5481, 13431, 3370, 10328]"
33,34,0.00022756999999997695,35.460999999999885,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953, 9987, 14717, 3380, 9025, 3825, 4738, 5481, 13431, 3370, 10328, 10312]"
34,35,0.0002340719999999763,36.60600000000005,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953, 9987, 14717, 3380, 9025, 3825, 4738, 5481, 13431, 3370, 10328, 10312, 6863]"
35,36,0.00024057399999997565,37.62999999999997,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953, 9987, 14717, 3380, 9025, 3825, 4738, 5481, 13431, 3370, 10328, 10312, 6863, 4743]"
36,37,0.000247075999999975,38.72399999999983,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953, 9987, 14717, 3380, 9025, 3825, 4738, 5481, 13431, 3370, 10328, 10312, 6863, 4743, 11025]"
37,38,0.0002535779999999743,39.72799999999999,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953, 9987, 14717, 3380, 9025, 3825, 4738, 5481, 13431, 3370, 10328, 10312, 6863, 4743, 11025, 1858]"
38,39,0.00026007999999997364,41.07399999999995,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953, 9987, 14717, 3380, 9025, 3825, 4738, 5481, 13431, 3370, 10328, 10312, 6863, 4743, 11025, 1858, 9990]"
39,40,0.000266581999999973,42.037999999999876,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953, 9987, 14717, 3380, 9025, 3825, 4738, 5481, 13431, 3370, 10328, 10312, 6863, 4743, 11025, 1858, 9990, 3745]"
40,41,0.00027308399999997234,42.955000000000005,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953, 9987, 14717, 3380, 9025, 3825, 4738, 5481, 13431, 3370, 10328, 10312, 6863, 4743, 11025, 1858, 9990, 3745, 3351]"
41,42,0.00027958599999997166,44.07899999999997,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953, 9987, 14717, 3380, 9025, 3825, 4738, 5481, 13431, 3370, 10328, 10312, 6863, 4743, 11025, 1858, 9990, 3745, 3351, 11392]"
42,43,0.00028608799999997104,45.09399999999988,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953, 9987, 14717, 3380, 9025, 3825, 4738, 5481, 13431, 3370, 10328, 10312, 6863, 4743, 11025, 1858, 9990, 3745, 3351, 11392, 10777]"
43,44,0.00029258999999997036,46.00399999999991,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953, 9987, 14717, 3380, 9025, 3825, 4738, 5481, 13431, 3370, 10328, 10312, 6863, 4743, 11025, 1858, 9990, 3745, 3351, 11392, 10777, 14897]"
44,45,0.00029909199999996974,47.22199999999983,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953, 9987, 14717, 3380, 9025, 3825, 4738, 5481, 13431, 3370, 10328, 10312, 6863, 4743, 11025, 1858, 9990, 3745, 3351, 11392, 10777, 14897, 5415]"
45,46,0.00030559399999996906,48.15099999999963,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953, 9987, 14717, 3380, 9025, 3825, 4738, 5481, 13431, 3370, 10328, 10312, 6863, 4743, 11025, 1858, 9990, 3745, 3351, 11392, 10777, 14897, 5415, 4529]"
46,47,0.0003120959999999684,49.22699999999979,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953, 9987, 14717, 3380, 9025, 3825, 4738, 5481, 13431, 3370, 10328, 10312, 6863, 4743, 11025, 1858, 9990, 3745, 3351, 11392, 10777, 14897, 5415, 4529, 6857]"
47,48,0.00031859799999996776,50.33899999999968,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953, 9987, 14717, 3380, 9025, 3825, 4738, 5481, 13431, 3370, 10328, 10312, 6863, 4743, 11025, 1858, 9990, 3745, 3351, 11392, 10777, 14897, 5415, 4529, 6857, 10495]"
48,49,0.0003250999999999671,51.42599999999966,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953, 9987, 14717, 3380, 9025, 3825, 4738, 5481, 13431, 3370, 10328, 10312, 6863, 4743, 11025, 1858, 9990, 3745, 3351, 11392, 10777, 14897, 5415, 4529, 6857, 10495, 3487]"
49,50,0.0003316019999999664,52.580999999999804,"[2160, 14160, 6738, 13678, 3708, 8251, 13902, 4540, 6640, 13141, 9441, 4848, 5331, 3868, 7580, 5626, 14173, 4495, 6031, 12881, 9159, 10594, 10953, 9987, 14717, 3380, 9025, 3825, 4738, 5481, 13431, 3370, 10328, 10312, 6863, 4743, 11025, 1858, 9990, 3745, 3351, 11392, 10777, 14897, 5415, 4529, 6857, 10495, 3487, 11315]"
