,k,run time,average cover size,S
0,1,4.316400000000442e-05,1.007,[2691]
1,2,6.474600000000663e-05,2.036999999999996,"[2691, 35376]"
2,3,8.632800000000884e-05,3.071000000000005,"[2691, 35376, 32043]"
3,4,0.00010791000000001105,4.174999999999979,"[2691, 35376, 32043, 36725]"
4,5,0.00012949200000001327,5.22499999999992,"[2691, 35376, 32043, 36725, 5340]"
5,6,0.00015107400000001546,6.31699999999999,"[2691, 35376, 32043, 36725, 5340, 23484]"
6,7,0.00017265600000001768,7.688999999999923,"[2691, 35376, 32043, 36725, 5340, 23484, 23193]"
7,8,0.0001942380000000199,8.677999999999978,"[2691, 35376, 32043, 36725, 5340, 23484, 23193, 19547]"
8,9,0.0002158200000000221,13.005999999999972,"[2691, 35376, 32043, 36725, 5340, 23484, 23193, 19547, 22764]"
9,10,0.00023740200000002431,13.966999999999928,"[2691, 35376, 32043, 36725, 5340, 23484, 23193, 19547, 22764, 15985]"
10,11,0.00025898400000002653,15.078999999999926,"[2691, 35376, 32043, 36725, 5340, 23484, 23193, 19547, 22764, 15985, 21324]"
11,12,0.00028056600000002873,16.254999999999985,"[2691, 35376, 32043, 36725, 5340, 23484, 23193, 19547, 22764, 15985, 21324, 34691]"
12,13,0.0003021480000000309,17.41099999999996,"[2691, 35376, 32043, 36725, 5340, 23484, 23193, 19547, 22764, 15985, 21324, 34691, 20339]"
13,14,0.00032373000000003317,18.31999999999993,"[2691, 35376, 32043, 36725, 5340, 23484, 23193, 19547, 22764, 15985, 21324, 34691, 20339, 21228]"
14,15,0.00034531200000003536,20.65899999999995,"[2691, 35376, 32043, 36725, 5340, 23484, 23193, 19547, 22764, 15985, 21324, 34691, 20339, 21228, 122]"
15,16,0.00036689400000003756,21.68799999999989,"[2691, 35376, 32043, 36725, 5340, 23484, 23193, 19547, 22764, 15985, 21324, 34691, 20339, 21228, 122, 12587]"
16,17,0.0003884760000000398,23.063999999999925,"[2691, 35376, 32043, 36725, 5340, 23484, 23193, 19547, 22764, 15985, 21324, 34691, 20339, 21228, 122, 12587, 22735]"
17,18,0.000410058000000042,24.558999999999894,"[2691, 35376, 32043, 36725, 5340, 23484, 23193, 19547, 22764, 15985, 21324, 34691, 20339, 21228, 122, 12587, 22735, 4687]"
18,19,0.0004316400000000442,25.85699999999985,"[2691, 35376, 32043, 36725, 5340, 23484, 23193, 19547, 22764, 15985, 21324, 34691, 20339, 21228, 122, 12587, 22735, 4687, 17446]"
