,k,run time,average cover size,S
0,1,4.0247999999998284e-05,1.0050000000000001,[8324]
1,2,6.037199999999742e-05,2.0599999999999925,"[8324, 9445]"
2,3,8.049599999999657e-05,3.3640000000000096,"[8324, 9445, 14330]"
3,4,0.00010061999999999571,4.583999999999943,"[8324, 9445, 14330, 36190]"
4,5,0.00012074399999999484,6.970999999999922,"[8324, 9445, 14330, 36190, 23279]"
5,6,0.000140867999999994,15.392000000000008,"[8324, 9445, 14330, 36190, 23279, 12033]"
6,7,0.00016099199999999314,12.244999999999825,"[8324, 9445, 14330, 36190, 23279, 12033, 12802]"
7,8,0.00018111599999999227,17.984999999999832,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688]"
8,9,0.00020123999999999143,17.02900000000008,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557]"
9,10,0.00022136399999999056,22.595000000000006,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317]"
10,11,0.0002414879999999897,14.923999999999856,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400]"
11,12,0.0002616119999999888,21.711000000000155,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028]"
12,13,0.000281735999999988,25.478000000000083,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689]"
13,14,0.00030185999999998714,29.875999999999838,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925]"
14,15,0.00032198399999998627,31.404999999999863,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817]"
15,16,0.0003421079999999854,32.658999999999594,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498]"
16,17,0.00036223199999998453,30.40399999999981,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091]"
17,18,0.0003823559999999837,62.21600000000019,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457]"
18,19,0.00040247999999998285,120.19500000000039,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109]"
19,20,0.000422603999999982,100.6080000000001,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464]"
20,21,0.0004427279999999811,84.09300000000025,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277]"
21,22,0.00046285199999998025,100.87000000000054,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063]"
22,23,0.0004829759999999794,103.7300000000004,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620]"
23,24,0.0005030999999999786,108.5900000000002,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620, 14375]"
24,25,0.0005232239999999776,108.51200000000036,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620, 14375, 9654]"
25,26,0.0005433479999999768,357.586999999999,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620, 14375, 9654, 5821]"
26,27,0.000563471999999976,342.18299999999914,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620, 14375, 9654, 5821, 24976]"
27,28,0.0005835959999999751,342.8989999999994,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620, 14375, 9654, 5821, 24976, 27451]"
28,29,0.0006037199999999743,347.7629999999993,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620, 14375, 9654, 5821, 24976, 27451, 10149]"
29,30,0.0006238439999999734,395.7869999999999,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620, 14375, 9654, 5821, 24976, 27451, 10149, 11221]"
30,31,0.0006439679999999725,384.8639999999998,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620, 14375, 9654, 5821, 24976, 27451, 10149, 11221, 6462]"
31,32,0.0006640919999999717,383.40500000000003,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620, 14375, 9654, 5821, 24976, 27451, 10149, 11221, 6462, 20157]"
32,33,0.0006842159999999708,419.9490000000014,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620, 14375, 9654, 5821, 24976, 27451, 10149, 11221, 6462, 20157, 25942]"
33,34,0.00070433999999997,360.05900000000094,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620, 14375, 9654, 5821, 24976, 27451, 10149, 11221, 6462, 20157, 25942, 26539]"
34,35,0.0007244639999999691,409.26900000000046,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620, 14375, 9654, 5821, 24976, 27451, 10149, 11221, 6462, 20157, 25942, 26539, 1043]"
35,36,0.0007445879999999683,381.33799999999985,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620, 14375, 9654, 5821, 24976, 27451, 10149, 11221, 6462, 20157, 25942, 26539, 1043, 33408]"
36,37,0.0007647119999999674,368.29599999999914,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620, 14375, 9654, 5821, 24976, 27451, 10149, 11221, 6462, 20157, 25942, 26539, 1043, 33408, 35536]"
37,38,0.0007848359999999665,373.2459999999993,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620, 14375, 9654, 5821, 24976, 27451, 10149, 11221, 6462, 20157, 25942, 26539, 1043, 33408, 35536, 5201]"
38,39,0.0008049599999999657,410.4559999999992,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620, 14375, 9654, 5821, 24976, 27451, 10149, 11221, 6462, 20157, 25942, 26539, 1043, 33408, 35536, 5201, 1900]"
39,40,0.0008250839999999648,397.8459999999997,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620, 14375, 9654, 5821, 24976, 27451, 10149, 11221, 6462, 20157, 25942, 26539, 1043, 33408, 35536, 5201, 1900, 32078]"
40,41,0.000845207999999964,381.1149999999997,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620, 14375, 9654, 5821, 24976, 27451, 10149, 11221, 6462, 20157, 25942, 26539, 1043, 33408, 35536, 5201, 1900, 32078, 3934]"
41,42,0.0008653319999999632,372.01600000000076,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620, 14375, 9654, 5821, 24976, 27451, 10149, 11221, 6462, 20157, 25942, 26539, 1043, 33408, 35536, 5201, 1900, 32078, 3934, 13654]"
42,43,0.0008854559999999622,391.9770000000004,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620, 14375, 9654, 5821, 24976, 27451, 10149, 11221, 6462, 20157, 25942, 26539, 1043, 33408, 35536, 5201, 1900, 32078, 3934, 13654, 19360]"
43,44,0.0009055799999999614,357.4190000000008,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620, 14375, 9654, 5821, 24976, 27451, 10149, 11221, 6462, 20157, 25942, 26539, 1043, 33408, 35536, 5201, 1900, 32078, 3934, 13654, 19360, 16227]"
44,45,0.0009257039999999605,379.72600000000074,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620, 14375, 9654, 5821, 24976, 27451, 10149, 11221, 6462, 20157, 25942, 26539, 1043, 33408, 35536, 5201, 1900, 32078, 3934, 13654, 19360, 16227, 2471]"
45,46,0.0009458279999999597,382.67600000000033,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620, 14375, 9654, 5821, 24976, 27451, 10149, 11221, 6462, 20157, 25942, 26539, 1043, 33408, 35536, 5201, 1900, 32078, 3934, 13654, 19360, 16227, 2471, 14320]"
46,47,0.0009659519999999588,404.0290000000007,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620, 14375, 9654, 5821, 24976, 27451, 10149, 11221, 6462, 20157, 25942, 26539, 1043, 33408, 35536, 5201, 1900, 32078, 3934, 13654, 19360, 16227, 2471, 14320, 9672]"
47,48,0.000986075999999958,382.67400000000015,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620, 14375, 9654, 5821, 24976, 27451, 10149, 11221, 6462, 20157, 25942, 26539, 1043, 33408, 35536, 5201, 1900, 32078, 3934, 13654, 19360, 16227, 2471, 14320, 9672, 24630]"
48,49,0.0010061999999999571,394.2479999999994,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620, 14375, 9654, 5821, 24976, 27451, 10149, 11221, 6462, 20157, 25942, 26539, 1043, 33408, 35536, 5201, 1900, 32078, 3934, 13654, 19360, 16227, 2471, 14320, 9672, 24630, 33914]"
49,50,0.0010263239999999563,389.3769999999994,"[8324, 9445, 14330, 36190, 23279, 12033, 12802, 14688, 34557, 34317, 30400, 32028, 24689, 12925, 817, 14498, 34091, 17457, 11109, 34464, 4277, 29063, 30620, 14375, 9654, 5821, 24976, 27451, 10149, 11221, 6462, 20157, 25942, 26539, 1043, 33408, 35536, 5201, 1900, 32078, 3934, 13654, 19360, 16227, 2471, 14320, 9672, 24630, 33914, 25467]"
