,k,run time,average cover size,S
0,1,0.027316100000000176,1.8399999999999666,[100]
1,2,0.05567560000000071,3.5559999999999667,"[100, 474]"
2,3,0.034281000000000006,5.191999999999951,"[100, 474, 239]"
3,4,0.03632329999999939,6.7409999999999455,"[100, 474, 239, 196]"
4,5,0.039286299999997,8.363999999999963,"[100, 474, 239, 196, 639]"
5,6,0.028366799999997028,10.050999999999945,"[100, 474, 239, 196, 639, 80]"
6,7,0.028743699999999706,11.461999999999932,"[100, 474, 239, 196, 639, 80, 606]"
7,8,0.05525049999999965,13.370999999999936,"[100, 474, 239, 196, 639, 80, 606, 9994]"
8,9,0.027454800000001,14.656999999999966,"[100, 474, 239, 196, 639, 80, 606, 9994, 634]"
9,10,0.02831419999999696,16.04899999999997,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66]"
10,11,0.038145899999999955,17.67999999999996,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88]"
11,12,0.028677699999999362,19.32399999999993,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525]"
12,13,0.028379699999998564,20.635999999999886,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162]"
13,14,0.05879320000000021,22.244999999999923,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599]"
14,15,0.029667500000002178,23.716999999999878,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553]"
15,16,0.037006099999999265,25.008999999999876,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292]"
16,17,0.027546499999999696,26.433999999999905,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128]"
17,18,0.02937560000000161,28.139999999999894,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824]"
18,19,0.028541199999999378,29.348999999999972,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563]"
19,20,0.05836379999999863,30.818999999999964,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192]"
20,21,0.041649800000001846,32.088,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359]"
21,22,0.02874370000000326,33.576000000000064,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457]"
