,k,run time,average cover size,S
0,1,0.4957832,8.567999999999952,[4840]
1,2,0.45453710000000047,38.627,"[4840, 17544]"
2,3,0.49220360000000163,69.57399999999997,"[4840, 17544, 25609]"
3,4,0.43310479999999885,75.558,"[4840, 17544, 25609, 23571]"
4,5,0.44871820000000184,82.02599999999995,"[4840, 17544, 25609, 23571, 3333]"
5,6,0.4856876000000021,88.65799999999987,"[4840, 17544, 25609, 23571, 3333, 5567]"
6,7,0.4412748000000022,92.79699999999998,"[4840, 17544, 25609, 23571, 3333, 5567, 25580]"
7,8,0.48351219999999984,103.2799999999998,"[4840, 17544, 25609, 23571, 3333, 5567, 25580, 8515]"
8,9,0.4183700999999971,108.49399999999983,"[4840, 17544, 25609, 23571, 3333, 5567, 25580, 8515, 3460]"
9,10,0.43467699999999354,114.18199999999992,"[4840, 17544, 25609, 23571, 3333, 5567, 25580, 8515, 3460, 15758]"
10,11,0.4843163999999973,125.30500000000004,"[4840, 17544, 25609, 23571, 3333, 5567, 25580, 8515, 3460, 15758, 14866]"
11,12,0.45018460000000005,141.23300000000012,"[4840, 17544, 25609, 23571, 3333, 5567, 25580, 8515, 3460, 15758, 14866, 11907]"
12,13,0.4706805000000003,149.45899999999997,"[4840, 17544, 25609, 23571, 3333, 5567, 25580, 8515, 3460, 15758, 14866, 11907, 5551]"
13,14,0.5546693999999945,154.5050000000002,"[4840, 17544, 25609, 23571, 3333, 5567, 25580, 8515, 3460, 15758, 14866, 11907, 5551, 12081]"
14,15,0.49278579999997874,161.69199999999992,"[4840, 17544, 25609, 23571, 3333, 5567, 25580, 8515, 3460, 15758, 14866, 11907, 5551, 12081, 1723]"
15,16,0.4182254000000114,167.13300000000004,"[4840, 17544, 25609, 23571, 3333, 5567, 25580, 8515, 3460, 15758, 14866, 11907, 5551, 12081, 1723, 12650]"
16,17,0.44448309999998514,174.672,"[4840, 17544, 25609, 23571, 3333, 5567, 25580, 8515, 3460, 15758, 14866, 11907, 5551, 12081, 1723, 12650, 22777]"
17,18,0.4882371000000205,180.48,"[4840, 17544, 25609, 23571, 3333, 5567, 25580, 8515, 3460, 15758, 14866, 11907, 5551, 12081, 1723, 12650, 22777, 17529]"
18,19,0.44440290000000005,186.91599999999968,"[4840, 17544, 25609, 23571, 3333, 5567, 25580, 8515, 3460, 15758, 14866, 11907, 5551, 12081, 1723, 12650, 22777, 17529, 7387]"
19,20,0.49869409999996606,189.30699999999993,"[4840, 17544, 25609, 23571, 3333, 5567, 25580, 8515, 3460, 15758, 14866, 11907, 5551, 12081, 1723, 12650, 22777, 17529, 7387, 22764]"
20,21,0.438007099999993,196.0020000000002,"[4840, 17544, 25609, 23571, 3333, 5567, 25580, 8515, 3460, 15758, 14866, 11907, 5551, 12081, 1723, 12650, 22777, 17529, 7387, 22764, 13566]"
21,22,0.4257701999999881,199.39200000000025,"[4840, 17544, 25609, 23571, 3333, 5567, 25580, 8515, 3460, 15758, 14866, 11907, 5551, 12081, 1723, 12650, 22777, 17529, 7387, 22764, 13566, 5192]"
22,23,0.5238949000000162,202.373,"[4840, 17544, 25609, 23571, 3333, 5567, 25580, 8515, 3460, 15758, 14866, 11907, 5551, 12081, 1723, 12650, 22777, 17529, 7387, 22764, 13566, 5192, 13439]"
