,S,average cover size,k,run time
0,[100],1.9529999999999648,1,0.038041599999999676
1,"[100, 474]",3.849999999999962,2,0.07307430000000004
2,"[100, 474, 239]",5.926999999999959,3,0.03837530000000022
3,"[100, 474, 239, 196]",8.068999999999942,4,0.030715799999999405
4,"[100, 474, 239, 196, 639]",10.066999999999947,5,0.037245900000000276
5,"[100, 474, 239, 196, 639, 80]",12.617999999999913,6,0.030420700000000522
6,"[100, 474, 239, 196, 639, 80, 606]",14.337999999999948,7,0.03007470000000012
7,"[100, 474, 239, 196, 639, 80, 606, 9994]",19.537999999999965,8,0.08700680000000105
8,"[100, 474, 239, 196, 639, 80, 606, 9994, 634]",21.501999999999924,9,0.03222689999999773
9,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66]",22.855999999999888,10,0.04350319999999641
10,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88]",27.02899999999992,11,0.03181939999999628
11,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525]",30.2439999999999,12,0.03176669999999859
12,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162]",32.315999999999924,13,0.031582999999997696
13,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599]",34.22499999999995,14,0.07060689999998715
14,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553]",37.46199999999998,15,0.03156620000000032
15,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292]",38.22799999999996,16,0.03147030000000939
16,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128]",39.415999999999976,17,0.03174040000000389
17,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824]",41.92899999999987,18,0.031668300000006866
18,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563]",44.51399999999986,19,0.031881600000019716
19,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192]",47.02099999999989,20,0.07238089999998465
20,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359]",48.836999999999875,21,0.05478410000000622
21,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457]",50.54099999999982,22,0.03256509999999935
22,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457, 535]",53.147999999999804,23,0.043285300000007965
23,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457, 535, 412]",55.36099999999983,24,0.0324615000000108
24,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457, 535, 412, 60]",55.678999999999796,25,0.048951400000021295
25,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457, 535, 412, 60, 111]",57.301999999999914,26,0.09393389999996771
26,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457, 535, 412, 60, 111, 37]",59.12899999999979,27,0.045218999999974585
27,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457, 535, 412, 60, 111, 37, 157]",61.79199999999996,28,0.0337046000000214
28,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457, 535, 412, 60, 111, 37, 157, 3138]",63.9119999999999,29,0.03359219999998686
29,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457, 535, 412, 60, 111, 37, 157, 3138, 133]",67.25099999999998,30,0.033208600000023125
