,k,run time,average cover size,S
0,1,0.027664899999999992,1.8569999999999671,[100]
1,2,0.05726209999999998,3.8789999999999627,"[100, 474]"
2,3,0.0275957,6.027999999999956,"[100, 474, 239]"
3,4,0.02738189999999996,8.351999999999965,"[100, 474, 239, 196]"
4,5,0.03934879999999907,9.923999999999966,"[100, 474, 239, 196, 639]"
5,6,0.030198600000000297,12.716999999999926,"[100, 474, 239, 196, 639, 80]"
6,7,0.02749820000000014,14.470999999999933,"[100, 474, 239, 196, 639, 80, 606]"
7,8,0.06603910000000113,19.47899999999999,"[100, 474, 239, 196, 639, 80, 606, 9994]"
8,9,0.04020620000000008,21.367999999999967,"[100, 474, 239, 196, 639, 80, 606, 9994, 634]"
9,10,0.039627400000000534,23.039999999999896,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66]"
10,11,0.036612500000003934,26.485999999999894,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88]"
11,12,0.04028489999999607,29.789999999999846,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525]"
12,13,0.03178540000000396,31.38099999999991,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162]"
13,14,0.065343299999995,34.646999999999956,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599]"
14,15,0.03792479999999898,36.371999999999936,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553]"
15,16,0.03828789999998605,38.17599999999995,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292]"
16,17,0.04364180000000317,40.130999999999986,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128]"
17,18,0.03822680000000389,42.501999999999896,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824]"
18,19,0.03783920000000762,44.154999999999944,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563]"
19,20,0.06485879999999611,46.05799999999989,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192]"
20,21,0.036491900000015676,48.6339999999998,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359]"
21,22,0.031714899999997215,51.83099999999988,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457]"
22,23,0.0440667000000019,52.59299999999988,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457, 535]"
23,24,0.03633460000000355,54.5199999999999,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457, 535, 412]"
24,25,0.035160899999993944,56.27599999999988,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457, 535, 412, 60]"
25,26,0.07249569999999039,57.994999999999884,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457, 535, 412, 60, 111]"
26,27,0.03169500000001335,58.56299999999989,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457, 535, 412, 60, 111, 37]"
27,28,0.04024509999999282,61.091999999999835,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457, 535, 412, 60, 111, 37, 157]"
28,29,0.040893999999980224,64.34999999999985,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457, 535, 412, 60, 111, 37, 157, 3138]"
29,30,0.03322349999996277,66.22299999999991,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457, 535, 412, 60, 111, 37, 157, 3138, 133]"
30,31,0.04743780000001152,68.24199999999996,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457, 535, 412, 60, 111, 37, 157, 3138, 133, 682]"
31,32,0.06250130000000809,70.45799999999986,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457, 535, 412, 60, 111, 37, 157, 3138, 133, 682, 885]"
32,33,0.03515829999997777,72.39300000000001,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457, 535, 412, 60, 111, 37, 157, 3138, 133, 682, 885, 1405]"
33,34,0.04985009999995782,74.91200000000012,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457, 535, 412, 60, 111, 37, 157, 3138, 133, 682, 885, 1405, 3210]"
34,35,0.04243339999993623,77.372,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457, 535, 412, 60, 111, 37, 157, 3138, 133, 682, 885, 1405, 3210, 612]"
35,36,0.040494500000022526,80.51899999999976,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457, 535, 412, 60, 111, 37, 157, 3138, 133, 682, 885, 1405, 3210, 612, 2804]"
36,37,0.03977950000000874,82.33099999999999,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457, 535, 412, 60, 111, 37, 157, 3138, 133, 682, 885, 1405, 3210, 612, 2804, 3641]"
37,38,0.06520000000000437,83.98899999999972,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457, 535, 412, 60, 111, 37, 157, 3138, 133, 682, 885, 1405, 3210, 612, 2804, 3641, 741]"
38,39,0.035844300000007934,85.20999999999978,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457, 535, 412, 60, 111, 37, 157, 3138, 133, 682, 885, 1405, 3210, 612, 2804, 3641, 741, 1159]"
39,40,0.04075569999997697,87.55599999999976,"[100, 474, 239, 196, 639, 80, 606, 9994, 634, 66, 88, 525, 1162, 599, 553, 1292, 128, 4824, 563, 192, 359, 457, 535, 412, 60, 111, 37, 157, 3138, 133, 682, 885, 1405, 3210, 612, 2804, 3641, 741, 1159, 1520]"
